match_date,team_name,opponent,plan_offensive_focus,plan_defensive_style,plan_pace,selected_players,winning_team,goals_scored,assists_made,yellow_cards_received,red_cards_received
2024-01-01,Team A,Team B,High,Balanced,Fast,"John Smith,Alice Brown,Bob White",Team A,3,2,0,0
2024-01-02,Team B,Team A,Medium,Aggressive,Normal,"Jack Brown,Kate White,Liam Green",Team B,2,1,1,0
2024-01-03,Team A,Team C,Low,Passive,Slow,"Charlie Green,Diana Black,Eve Blue",Team C,1,0,0,1
2024-01-04,Team C,Team A,Medium,Balanced,Normal,"Tom White,Uma Black,Victor Blue",Team A,2,1,0,0
2024-01-05,Team B,Team C,High,Aggressive,Fast,"Mia Black,Noah Blue,Olivia Red",Team B,4,3,0,0
2024-01-06,Team C,Team B,Low,Passive,Slow,"Wendy Red,Xander Pink,Yara Gold",Team C,1,1,1,0
2024-01-07,Team A,Team D,Medium,Balanced,Normal,"Frank Red,Grace Pink,Harry Gold",Team A,1,1,0,0
2024-01-08,Team D,Team A,High,Aggressive,Fast,"Daniel Blue,Emily Red,Finn Pink",Team D,2,2,1,0
2024-01-09,Team B,Team D,Low,Passive,Slow,"Peter Pink,Quinn Gold,Ryan Silver",Team B,1,0,0,0
2024-01-10,Team D,Team B,Medium,Balanced,Normal,"Grace Gold,Henry Silver,Isla Green",Team B,2,1,0,0