name,position,power,speed,stamina,agility,defensive_skill,offensive_skill,match_frequency,experience,selected,avg_goals,avg_assists,avg_minutes_played,yellow_card_rate,red_card_rate,coach_rating,player_rating
John Smith,Forward,82,85,78,88,55,90,4,8,1,1.25,0.75,90,0,0,4,83
Alice Brown,Midfielder,78,79,83,81,75,82,4,8,1,0.5,0.75,90,0,0,3,78
Bob White,Defender,72,68,85,65,88,60,1,8,0,0,0,90,1,0,2,72
Charlie Green,Forward,89,92,75,91,45,95,1,8,0,1,0,90,0,0,4,85
Diana Black,Midfielder,81,80,80,84,78,79,1,8,0,0,1,30,0,0,3,79
Eve Blue,Defender,69,70,88,68,92,58,1,8,1,1,1,90,0,0,3,71
Frank Red,Forward,77,75,77,78,50,85,2,8,1,0.5,0,90,0,0,2,75
Grace Pink,Midfielder,83,82,79,83,80,83,1,8,0,2,1,90,0,0,4,84
Harry Gold,Defender,70,65,86,60,90,55,1,8,0,0,0,20,0,0,1,73
Ivy Silver,Forward,86,88,70,89,52,91,1,8,0,0,0,30,0,0,2,79
Jack Brown,Forward,80,84,77,86,58,88,2,8,0,0.5,0.5,90,0,0,3,81
Kate White,Midfielder,76,78,82,80,77,80,2,8,1,0.5,1,90,0,0,2,77
Liam Green,Defender,71,69,87,67,89,62,2,8,0,0.5,0,90,0,0,2,73
Mia Black,Forward,87,90,73,90,48,93,2,8,1,0,1,90,0,0,4,88
Noah Blue,Midfielder,82,81,81,85,79,81,2,8,0,1,0,70,0,0,3,81
Olivia Red,Defender,67,67,89,65,93,57,1,8,0,0,0.5,90,0,0,2,70
Peter Pink,Forward,75,72,79,76,52,86,1,8,0,1,0,45,0,0,2,79
Quinn Gold,Midfielder,84,83,78,82,81,84,0,0,0,0,0,0,0,0,3,85
Ryan Silver,Defender,68,66,85,64,91,53,1,8,0,0,0,90,0,0,2,70
Sara Green,Forward,88,91,71,88,49,92,1,8,1,1,0,90,0,0,3,89
Tom White,Forward,79,83,76,87,56,89,1,8,1,1,1,90,0,0,3,82
Uma Black,Midfielder,77,77,84,80,76,78,1,8,0,0,0,90,0,0,1,78
Victor Blue,Defender,73,71,84,69,87,61,1,8,0,0,1,90,0,0,2,74
Wendy Red,Forward,85,89,74,89,47,94,1,8,1,1,0,90,0,0,4,85
Xander Pink,Midfielder,81,82,82,84,80,82,1,8,0,1,0.5,55,0,0,3,81
Yara Gold,Defender,66,64,86,63,92,56,1,8,0,0,0,90,0,0,1,66
Zack Silver,Forward,74,76,77,79,51,87,1,8,0,0.5,1,90,0,0,2,77
Adam Green,Midfielder,83,81,79,84,78,83,0,0,0,0,0,0,0,0,3,84
Bella White,Defender,65,66,85,62,90,54,0,0,0,0,0,0,0,0,1,70
Cody Black,Forward,87,92,72,88,48,90,1,8,0,0,0.5,15,0,0,4,88
Daniel Blue,Forward,81,82,77,86,54,89,1,8,0,1,1,90,0,0,3,82
Emily Red,Midfielder,75,74,81,82,76,77,1,8,0,0,0,90,0,0,2,76
Finn Pink,Defender,70,68,85,66,89,60,1,8,0,0,1,90,0,0,2,69
Grace Gold,Forward,88,91,75,89,48,93,1,8,0,0.5,0,90,0,0,4,88
Henry Silver,Midfielder,79,78,80,84,78,80,1,8,0,0.5,0,20,0,0,3,79
Isla Green,Defender,69,70,86,65,91,59,0,0,0,0,0,0,0,0,1,70
Jack White,Forward,76,75,79,78,51,84,0,0,0,0,0,0,0,0,2,78
Katie Blue,Midfielder,84,85,78,83,80,82,0,0,0,0,0,0,0,0,3,85
Leo Red,Defender,72,69,86,68,88,57,0,0,0,0,0,0,0,0,2,72
Maya Pink,Forward,87,90,72,87,50,91,0,0,0,0,0,0,0,0,4,89