team_name,name,position,power,speed,stamina,agility,defensive_skill,offensive_skill
Team A,John Smith,Forward,82,85,78,88,55,90
Team A,Alice Brown,Midfielder,78,79,83,81,75,82
Team A,Bob White,Defender,72,68,85,65,88,60
Team A,Charlie Green,Forward,89,92,75,91,45,95
Team A,Diana Black,Midfielder,81,80,80,84,78,79
Team A,Eve Blue,Defender,69,70,88,68,92,58
Team A,Frank Red,Forward,77,75,77,78,50,85
Team A,Grace Pink,Midfielder,83,82,79,83,80,83
Team A,Harry Gold,Defender,70,65,86,60,90,55
Team A,Ivy Silver,Forward,86,88,70,89,52,91
Team B,Jack Brown,Forward,80,84,77,86,58,88
Team B,Kate White,Midfielder,76,78,82,80,77,80
Team B,Liam Green,Defender,71,69,87,67,89,62
Team B,Mia Black,Forward,87,90,73,90,48,93
Team B,Noah Blue,Midfielder,82,81,81,85,79,81
Team B,Olivia Red,Defender,67,67,89,65,93,57
Team B,Peter Pink,Forward,75,72,79,76,52,86
Team B,Quinn Gold,Midfielder,84,83,78,82,81,84
Team B,Ryan Silver,Defender,68,66,85,64,91,53
Team B,Sara Green,Forward,88,91,71,88,49,92
Team C,Tom White,Forward,79,83,76,87,56,89
Team C,Uma Black,Midfielder,77,77,84,80,76,78
Team C,Victor Blue,Defender,73,71,84,69,87,61
Team C,Wendy Red,Forward,85,89,74,89,47,94
Team C,Xander Pink,Midfielder,81,82,82,84,80,82
Team C,Yara Gold,Defender,66,64,86,63,92,56
Team C,Zack Silver,Forward,74,76,77,79,51,87
Team C,Adam Green,Midfielder,83,81,79,84,78,83
Team C,Bella White,Defender,65,66,85,62,90,54
Team C,Cody Black,Forward,87,92,72,88,48,90
Team D,Daniel Blue,Forward,81,82,77,86,54,89
Team D,Emily Red,Midfielder,75,74,81,82,76,77
Team D,Finn Pink,Defender,70,68,85,66,89,60
Team D,Grace Gold,Forward,88,91,75,89,48,93
Team D,Henry Silver,Midfielder,79,78,80,84,78,80
Team D,Isla Green,Defender,69,70,86,65,91,59
Team D,Jack White,Forward,76,75,79,78,51,84
Team D,Katie Blue,Midfielder,84,85,78,83,80,82
Team D,Leo Red,Defender,72,69,86,68,88,57
Team D,Maya Pink,Forward,87,90,72,87,50,91